CIQUAL CODE 2020;CIQUAL NAME 2020;Present in Agribalyse 3.2
20013;Chou de Bruxelles, cuit;Oui
20015;Chou vert, cuit;Oui
20017;Chou-fleur, cuit;Oui
20018;Coeur de palmier, appertisé, égoutté;Oui
20021;Courgette, pulpe et peau, cuite;Oui
20024;Céleri branche, cuit;Oui
20025;Céleri-rave, cuit;Oui
20027;Épinard, cuit;Oui
20029;"Haricot mungo germé ou pousse de ""soja"", appertisé, égoutté";Oui
20030;Haricot vert, cuit;Oui
20033;Navet, cuit;Oui
20035;Oignon, cuit;Oui
20036;Petits pois, appertisés, égouttés;Oui
20037;Petits pois, cuits;Oui
20040;Poireau, cuit;Oui
20043;Potiron, appertisé, égoutté;Oui
20046;Salsifis, cuit;Oui
20048;Tomate, pelée, appertisée, égouttée;Oui
20049;Maïs doux, en épis, cuit;Oui
20051;Macédoine de légumes, appertisée, égouttée;Oui
20060;Épinard, appertisé, égoutté;Oui
20062;Haricot vert, appertisé, égoutté;Oui
20063;Haricot beurre, appertisé, égoutté;Oui
20066;Maïs doux, appertisé, égoutté;Oui
20067;Artichaut, appertisé, égoutté;Oui
20068;Tomate, concentré, appertisé;Oui
20071;Haricot vert, surgelé, cuit;Oui
20074;Artichaut, cuit à la vapeur sous pression;
20076;Asperge, appertisée, égouttée;Oui
20077;Chou de Bruxelles, appertisé, égoutté;Oui
20078;Céleri branche, appertisé, égoutté;Oui
20079;Champignon de Paris ou champignon de couche, appertisé, égoutté;
20081;Salsifis, appertisé, égoutté;Oui
20086;Poivron vert, cuit;Oui
20088;Poivron rouge, cuit;Oui
20093;Petits pois et carottes, appertisés, égouttés;Oui
20094;Chou-rave, bouilli/cuit à l'eau;Oui
20095;Chou rouge, bouilli/cuit à l'eau;Oui
20096;Potiron, cuit;Oui
20102;Champignon de Paris ou champignon de couche, bouilli/cuit à l'eau;
20118;Fenouil, bouilli/cuit à l'eau;Oui
20121;Épinard, surgelé, cuit;Oui
20122;Chou-fleur, surgelé, cuit;Oui
20124;Petits pois, surgelés, cuits;Oui
20125;Champignon de Paris ou champignon de couche, sauté/poêlé, sans matière grasse;
20133;Panais, cuit;Oui
20135;Fondue de poireau;Oui
20141;Courge doubeurre (butternut), pulpe, cuite;
20143;Courge spaghetti, pulpe, cuite;Oui
20155;Artichaut, coeur, appertisé, égoutté;Oui
20156;Artichaut, fond, appertisé, égoutté;Oui
20158;Tétragone cornue, cuite;Oui
20165;Rutabaga, cuit;Oui
20169;Tomate, pulpe, appertisée;Oui
20170;Tomate, purée, appertisée;Oui
20188;Bambou, pousses, appertisées, égouttées;Oui
20205;Brocoli, surgelé, cuit;Oui
20207;Chou de Bruxelles, surgelé, cuit;Oui
20209;Carotte, surgelée, cuite;Oui
20212;Champignon, lentin comestible ou shiitaké, cuit;
20215;Petits pois et carottes, surgelés, cuits;Oui
20216;Pois mange-tout ou pois gourmand, bouilli/cuit à l'eau;Oui
