Category;Category 2;AGB Code;CIQUAL Code;French name;English name;Recipe name;Recipe LCI name;Recipe origin;Proxy from another recipe
viandes, œufs, poissons;charcuteries; 8109;8109;Confit de canard, viande (cuisse), sans peau, réchauffé;Duck confit (conserved in rendered fat), meat (leg) without skin, reheated;Duck confit;Duck confit, recipe, at plant {FR} U;Retailer for Agribalyse;
viandes, œufs, poissons;charcuteries; 8110;8110;Confit de canard;Duck confit (conserved in rendered fat), meat (leg) without skin, reheated;Duck confit, canned;Duck confit, canned, recipe, at plant {FR} U;"Incyvie projet for Agribalyse - see specific report ""Projet Incyvie Lot n°1 : Amélioration de la base de données AGRIBALYSE. """;
viandes, œufs, poissons;charcuteries; 8315;8315;Mousse de canard;Duck mousse;Duck mousse;Duck mousse, recipe, at plant {FR} U;"Incyvie projet for Agribalyse - see specific report ""Projet Incyvie Lot n°1 : Amélioration de la base de données AGRIBALYSE. """;
viandes, œufs, poissons;charcuteries; 8232;8232;Terrine de canard;Duck terrine;Duck terrine, canned;Duck terrine, canned, recipe, at plant {FR} U;"Incyvie projet for Agribalyse - see specific report ""Projet Incyvie Lot n°1 : Amélioration de la base de données AGRIBALYSE. """;
entrées et plats composés;plats composés; 25058;25058;Canard en sauce (poivre vert, chasseur, etc.);Duck with sauce (green pepper sauce, hunter-style sauce, etc.);Duck with sauce (green pepper sauce, hunter-style sauce, etc.);Duck with sauce (green pepper sauce, hunter-style sauce, etc.), recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";
produits sucrés;confitures et assimilés; 31040;31040;Confiture de lait;Dulce de leche or confiture de lait;Dulce de leche or confiture de lait;Dulce de leche or confiture de lait, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";
entrées et plats composés;plats composés; 25110;25110;Ravioli chinois à la vapeur à la crevette, cuit;Dumplings, steamed, with shrimps, cooked;Dumplings, steamed, with shrimps, cooked;Dumplings, steamed, with shrimps, cooked, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";
produits céréaliers;gâteaux et pâtisseries; 23477;23477;Éclair;Eclair;Eclair;Eclair, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";
entrées et plats composés;feuilletées et autres entrées; 25420;25420;Nem ou Pâté impérial;Egg roll or Nem;Egg roll or Nem;Egg roll or Nem, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";
entrées et plats composés;feuilletées et autres entrées; 25582;25582;Nem ou Pâté impérial, au poulet, cuit;Egg roll or Nem, with chicken, cooked;Egg roll or Nem;Egg roll or Nem, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";
